date,cpi,cpi_mom_l1,cpi_mom_l2,cpi_mom_l3,cpi_mom_l4,cpi_mom_l5,cpi_mom_l6,cpi_mom_l7,cpi_mom_l8,cpi_mom_l9,cpi_mom_l10,cpi_mom_l11,cpi_mom_l12,cpi_yoy_l1,cpi_yoy_l2,cpi_yoy_l3,cpi_yoy_l4,cpi_yoy_l5,cpi_yoy_l6,cpi_yoy_l7,cpi_yoy_l8,cpi_yoy_l9,cpi_yoy_l10,cpi_yoy_l11,cpi_yoy_l12,spi_mom_l1,spi_mom_l2,spi_mom_l3,spi_mom_l4,spi_mom_l5,spi_mom_l6,spi_mom_l7,spi_mom_l8,spi_mom_l9,spi_mom_l10,spi_mom_l11,spi_mom_l12,spi_yoy_l1,spi_yoy_l2,spi_yoy_l3,spi_yoy_l4,spi_yoy_l5,spi_yoy_l6,spi_yoy_l7,spi_yoy_l8,spi_yoy_l9,spi_yoy_l10,spi_yoy_l11,spi_yoy_l12,wpi_mom_l1,wpi_mom_l2,wpi_mom_l3,wpi_mom_l4,wpi_mom_l5,wpi_mom_l6,wpi_mom_l7,wpi_mom_l8,wpi_mom_l9,wpi_mom_l10,wpi_mom_l11,wpi_mom_l12,wpi_yoy_l1,wpi_yoy_l2,wpi_yoy_l3,wpi_yoy_l4,wpi_yoy_l5,wpi_yoy_l6,wpi_yoy_l7,wpi_yoy_l8,wpi_yoy_l9,wpi_yoy_l10,wpi_yoy_l11,wpi_yoy_l12,er_yoy_l1,er_yoy_l2,er_yoy_l3,er_yoy_l4,er_yoy_l5,er_yoy_l6,er_yoy_l7,er_yoy_l8,er_yoy_l9,er_yoy_l10,er_yoy_l11,er_yoy_l12,er_mom_l1,er_mom_l2,er_mom_l3,er_mom_l4,er_mom_l5,er_mom_l6,er_mom_l7,er_mom_l8,er_mom_l9,er_mom_l10,er_mom_l11,er_mom_l12
1978-07-31,8.48156437742964,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,0.1813341564103954,0.18940858136837768,-0.15823395469108936,0.4146643931173477,0.43984274648709576,0.8795696391408647,2.938561034761511,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,4.997978164173111,6.129719105724352,6.6628185041642585,8.755508919202537,8.891420854960575,11.129855523834253,11.594583935848558,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,-1.0176774339451966,0.04525057505939678,0.5269143290371536,-0.5166496964211675,0.35954886079780923,1.0092514718250678,2.27956989247311,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,3.061104352262478,5.390482243584649,6.3226685911314195,8.532872541759229,10.912665216663875,12.548986198670997,12.861888941623146,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,0.22893434753712416,1.2108528290604825,-0.12690355329950664,-0.8988348437211191,0.18528812303131303,0.9086829706080435,2.267235636317211,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,4.14556235119159,5.235250840500405,6.012386363582922,5.512488006641747,8.046095258450459,8.737353691529638,8.468867400179448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-08-31,8.115682534739776,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,0.1813341564103954,0.18940858136837768,-0.15823395469108936,0.4146643931173477,0.43984274648709576,0.8795696391408647,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,4.997978164173111,6.129719105724352,6.6628185041642585,8.755508919202537,8.891420854960575,11.129855523834253,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,-1.0176774339451966,0.04525057505939678,0.5269143290371536,-0.5166496964211675,0.35954886079780923,1.0092514718250678,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,3.061104352262478,5.390482243584649,6.3226685911314195,8.532872541759229,10.912665216663875,12.548986198670997,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,0.22893434753712416,1.2108528290604825,-0.12690355329950664,-0.8988348437211191,0.18528812303131303,0.9086829706080435,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,4.14556235119159,5.235250840500405,6.012386363582922,5.512488006641747,8.046095258450459,8.737353691529638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-09-30,8.084017981708257,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,0.1813341564103954,0.18940858136837768,-0.15823395469108936,0.4146643931173477,0.43984274648709576,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,4.997978164173111,6.129719105724352,6.6628185041642585,8.755508919202537,8.891420854960575,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,-1.0176774339451966,0.04525057505939678,0.5269143290371536,-0.5166496964211675,0.35954886079780923,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,3.061104352262478,5.390482243584649,6.3226685911314195,8.532872541759229,10.912665216663875,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,0.22893434753712416,1.2108528290604825,-0.12690355329950664,-0.8988348437211191,0.18528812303131303,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,4.14556235119159,5.235250840500405,6.012386363582922,5.512488006641747,8.046095258450459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-10-31,8.567789741808497,0.41042626728111653,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,0.1813341564103954,0.18940858136837768,-0.15823395469108936,0.4146643931173477,8.084017981708257,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,4.997978164173111,6.129719105724352,6.6628185041642585,8.755508919202537,0.5320515172641649,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,-1.0176774339451966,0.04525057505939678,0.5269143290371536,-0.5166496964211675,3.3223969528981323,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,3.061104352262478,5.390482243584649,6.3226685911314195,8.532872541759229,0.7982040409079794,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,0.22893434753712416,1.2108528290604825,-0.12690355329950664,-0.8988348437211191,4.631033845015731,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,4.14556235119159,5.235250840500405,6.012386363582922,5.512488006641747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-11-30,8.422883649014313,0.8641089996414664,0.41042626728111653,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,0.1813341564103954,0.18940858136837768,-0.15823395469108936,8.567789741808497,8.084017981708257,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,4.997978164173111,6.129719105724352,6.6628185041642585,-0.34309073655010014,0.5320515172641649,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,-1.0176774339451966,0.04525057505939678,0.5269143290371536,3.502653525398025,3.3223969528981323,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,3.061104352262478,5.390482243584649,6.3226685911314195,-0.1378725209460252,0.7982040409079794,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,0.22893434753712416,1.2108528290604825,-0.12690355329950664,5.434458047178281,4.631033845015731,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,4.14556235119159,5.235250840500405,6.012386363582922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-12-31,7.6816235194259175,-0.29149337030325295,0.8641089996414664,0.41042626728111653,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,0.1813341564103954,0.18940858136837768,8.422883649014313,8.567789741808497,8.084017981708257,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,4.997978164173111,6.129719105724352,0.6848813360679884,-0.34309073655010014,0.5320515172641649,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,-1.0176774339451966,0.04525057505939678,3.6652965798107173,3.502653525398025,3.3223969528981323,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,3.061104352262478,5.390482243584649,0.031860662701799214,-0.1378725209460252,0.7982040409079794,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,0.22893434753712416,1.2108528290604825,5.6020629344495365,5.434458047178281,4.631033845015731,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,4.14556235119159,5.235250840500405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-01-31,8.199183547716205,-0.49556133908515987,-0.29149337030325295,0.8641089996414664,0.41042626728111653,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,0.1813341564103954,7.6816235194259175,8.422883649014313,8.567789741808497,8.084017981708257,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,4.997978164173111,-0.17096504310503136,0.6848813360679884,-0.34309073655010014,0.5320515172641649,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,-1.0176774339451966,3.441257397007269,3.6652965798107173,3.502653525398025,3.3223969528981323,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,3.061104352262478,1.72700569770321,0.031860662701799214,-0.1378725209460252,0.7982040409079794,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,0.22893434753712416,6.140609999261493,5.6020629344495365,5.434458047178281,4.631033845015731,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,4.14556235119159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-02-28,7.561616700316165,0.6628448584736546,-0.49556133908515987,-0.29149337030325295,0.8641089996414664,0.41042626728111653,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,1.0975891550488948,8.199183547716205,7.6816235194259175,8.422883649014313,8.567789741808497,8.084017981708257,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,4.727519348918863,0.5538551231599076,-0.17096504310503136,0.6848813360679884,-0.34309073655010014,0.5320515172641649,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,0.45314344465174905,5.083584021933674,3.441257397007269,3.6652965798107173,3.502653525398025,3.3223969528981323,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,2.514281273073493,1.944686032353471,1.72700569770321,0.031860662701799214,-0.1378725209460252,0.7982040409079794,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,1.6430887120542081,7.9575596816976235,6.140609999261493,5.6020629344495365,5.434458047178281,4.631033845015731,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,5.6031508572980115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-03-31,7.533524182612661,0.5018686599038924,0.6628448584736546,-0.49556133908515987,-0.29149337030325295,0.8641089996414664,0.41042626728111653,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,1.1313854710296667,7.561616700316165,8.199183547716205,7.6816235194259175,8.422883649014313,8.567789741808497,8.084017981708257,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,4.09347553324968,-0.22829395564577526,0.5538551231599076,-0.17096504310503136,0.6848813360679884,-0.34309073655010014,0.5320515172641649,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,0.5041698256254667,4.370735405610304,5.083584021933674,3.441257397007269,3.6652965798107173,3.502653525398025,3.3223969528981323,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,2.004462911665139,0.8190008190008147,1.944686032353471,1.72700569770321,0.031860662701799214,-0.1378725209460252,0.7982040409079794,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,1.6382747372236661,7.082276187024283,7.9575596816976235,6.140609999261493,5.6020629344495365,5.434458047178281,4.631033845015731,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,6.363695001360026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-04-30,7.756782039289112,1.1049723756906493,0.5018686599038924,0.6628448584736546,-0.49556133908515987,-0.29149337030325295,0.8641089996414664,0.41042626728111653,0.539327469504447,4.193852536300247,1.2332009773976527,-1.9943872778297123,0.6667168901612008,7.533524182612661,7.561616700316165,8.199183547716205,7.6816235194259175,8.422883649014313,8.567789741808497,8.084017981708257,8.115682534739776,8.48156437742964,7.174616006467227,6.186653693343058,3.38891253046536,-0.45036864853085223,-0.22829395564577526,0.5538551231599076,-0.17096504310503136,0.6848813360679884,-0.34309073655010014,0.5320515172641649,0.8324700310788691,2.1389161816945057,1.142835301762024,-1.0177058111380144,-0.30551050428091475,3.3794742201938677,4.370735405610304,5.083584021933674,3.441257397007269,3.6652965798107173,3.502653525398025,3.3223969528981323,3.1451063507682564,3.325942350332589,3.468230694037122,1.6749572516710387,0.7201920512136528,0.25724343352289125,0.8190008190008147,1.944686032353471,1.72700569770321,0.031860662701799214,-0.1378725209460252,0.7982040409079794,1.515699609318455,2.1468425525625667,0.8195805237864562,-2.8061409225867195,-1.512017687754097,5.627273375650788,7.082276187024283,7.9575596816976235,6.140609999261493,5.6020629344495365,5.434458047178281,4.631033845015731,3.994811932555109,3.3729713559195407,3.4948095888734043,2.206355205873134,4.379458633083488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
